epoch	hours	top1Accuracy
1		0.041295 41.95
2		0.081711 52.22
3		0.122133 62.27
4		0.162553 69.06
5	  0.202962 75.1	
6	  0.243351 70.6	
7		0.28374 77.14
8		0.324118 78.51
9	  	0.364483 77.46 
10		0.40486  77.73
11		0.445241 80.52
12		0.485588 79.71
13		0.525938 81.55
14		0.566273 73.19
15		0.606631 79.35
16		0.64699 81.99
17		0.687325 81.55
18	  0.727673 84	 
19	  0.768001 71.8	
20		0.808334 79.59
21		0.848657 83.59
22		0.888992 76.08
23		0.929341 83.84
24		0.969668 78.82
25		1.010005 84.11
26	  1.050334 83.2	
27		1.090654 82.24
28		1.130985 83.12
29	  1.171317 82.9	
30		1.211665 78.54
31		1.251993 81.74
32	  1.292311 83	 
33		1.332628 84.58
34		1.372951 79.29
35		1.41328 84.12
36		1.45359 84.02
37		1.493909 85.42
38		1.534208 84.94
39		1.574523 86.22
40		1.614837 84.32
41		1.65514 83.54
42		1.695454 84.61
43		1.735769 81.27
44		1.776073 82.36
45		1.816149 86.39
46		1.856187 83.01
47		1.896249 84.82
48		1.936181 84.97
49		1.976279 85.02
50		2.016318 84.27
51		2.056383 93.09
52		2.096508 93.47
53		2.13657 93.64
54		2.176433 93.67
55		2.216535 93.97
56		2.25658 93.85
57		2.296667 93.79
58		2.336822 93.77
59		2.37703 94.26
60		2.41715 93.38
61		2.457303 93.68
62		2.497429 93.84
63		2.537533 93.93
64		2.577655 93.89
65		2.617677 93.29
66		2.657695 93.61
67		2.697658 93.76
68		2.737635 93.61
69		2.777645 93.67
70	  2.81762 93.4	
71		2.857582 94.23
72		2.897583 94.49
73	  2.93755 94.6	
74		2.977502 94.64
75		3.017516 94.63
76		3.057526 94.66
77		3.097639 94.65
78		3.137609 94.77
79		3.177564 94.75
80		3.217523 94.82
81		3.257485 94.75
82		3.297449 94.81
83		3.337417 94.79
84		3.377346 94.75
85		3.417405 94.82
86	  3.457483 94.9	
87		3.497544 94.73
88		3.537622 94.85
89		3.577527 94.88
90		3.617616 94.87
91		3.657635 94.82
92		3.697641 94.81
93		3.737648 94.88
94	  3.77763 94.9	
95		3.817602 94.86
96		3.857626 94.96
97		3.897663 94.97
98		3.93761 94.89
99		3.977638 94.94
100		4.01769 94.83
101		4.057685 94.93
102		4.097687 94.96
103		4.137668 94.94
104		4.177643 94.91
105		4.217621 94.87
106	  4.257519 95	 
107	  4.297538 94.9	
108		4.337514 94.99
109		4.377504 94.98
110		4.417498 94.89
111		4.457682 94.99
112		4.497616 95.02
113		4.537591 94.92
114		4.577569 94.99
115		4.617543 94.98
116	  4.657506 94.9	
117		4.697462 94.97
118		4.737449 94.92
119		4.777493 94.88
120		4.817357 94.98
121		4.85731 95.09
122		4.89726 94.91
123		4.937211 94.95
124		4.977165 95.03
125		5.017116 94.88
126	  5.057088 95.1	
127	  5.097029 95	 
128		5.137003 95.05
129		5.176963 95.05
130		5.216962 94.93
131		5.256927 94.98
132		5.296911 94.99
133		5.336903 94.94
134		5.376895 94.98
135		5.416896 94.92
136		5.457006 94.98
137		5.497053 94.99
138		5.537066 95.04
139		5.57707 95.01
140		5.617216 95.05
141		5.657033 94.93
142		5.697011 94.93
143		5.736962 95.09
144		5.77695 95.08
145		5.816918 95.04
146		5.85691 95.02
147		5.896879 94.97
148		5.936884 95.01
149		5.976843 95.01
150		6.016831 94.99
