epoch	hours	top1Accuracy
0	0.0007619220066569849	38.54
1	0.0009341845091613423	55.43
2	0.0010543893299958048	52.81
3	0.0011748994108509376	79.06
4	0.0012952357558404199	82.41
5	0.0014156600463967254	83.07
6	0.0015361240966982829	87.3
7	0.0016565052481018937	87.94
8	0.0017769989675273084	89.17
9	0.0018975325441958072	89.54
10	0.0020174154788967117	90.5
11	0.0021375417719375237	90.91
12	0.0022576338241601157	91.09
13	0.002378110454139662	93.04
14	0.002498850643848224	93.65
15	0.0026191027585688666	94.2
16	0.0027400148946778953	94.23
17	0.0028606314080146453	94.1
