epoch	hours	top1Accuracy
0	0.003508641587363349	55.55
1	0.006513937910397847	65.62
2	0.009536764687962003	74.83
3	0.012568767666816711	75.66000000000001
4	0.015597014096048143	79.17999999999999
5	0.018631390664312575	79.14999999999999
6	0.0216702620850669	83.65
7	0.024692272411452398	79.71000000000001
8	0.027740566465589735	83.78999999999999
9	0.030775602261225384	78.21000000000001
10	0.033793951206737095	85.15
11	0.03682645208305783	84.95
12	0.039851660993364124	81.04
13	0.04292301966084374	83.14
14	0.04596217632293701	82.11
15	0.04898762815528446	79.17999999999999
16	0.05204661183887058	84.98
17	0.055087420211897956	84.77
18	0.058125914070341324	85.28999999999999
19	0.061184588935640126	84.87
20	0.0642281475994322	85.64
21	0.06726788024107615	87.69
22	0.0703298607137468	89.58
23	0.07337968620989058	88.22
24	0.07640756865342459	88.81
25	0.07944716102547116	91.18
26	0.08250825656784905	91.39
27	0.08555183801386092	92.10000000000001
28	0.08858485188749102	93.14
29	0.09160958170890808	93.99
30	0.0946198488606347	94.08
31	0.09764599925941891	94.15
32	0.10066269311639997	94.19
33	0.1036933634016249	94.28
34	0.10669603122605217	94.3
35	0.10971194055345324	94.23
36	0.11277156300014919	94.31
37	0.115811897582478	94.3
38	0.11884934445222219	94.31
39	0.12188066297107272	94.34
