epoch	hours	top1Accuracy
1	0.7561636725	28.63
2	1.49605140278	47.71
3	2.26321605556	64.58
4	3.04428183	68.1
5	3.82215011778	68.47
6	4.59971440889	71.75
7	5.37641706694	71.08
8	6.15312403444	75.83
9	6.9245727675	75.66
10	7.6897702075	76.0
11	8.4550001375	79.3
12	9.21456420056	76.76
13	9.96025589	76.6
14	10.7003856339	78.22
15	11.4375934492	76.36
16	12.188506115	76.99
17	12.9292248436	76.83
18	13.6614124219	68.39
19	14.4020506294	72.36
20	15.1454930769	75.55
21	15.8913705536	75.98
22	16.6374131311	76.39
23	17.3864303544	73.78
24	18.1179958744	78.68
25	18.8370637272	81.6
26	19.5740981042	76.7
27	20.3041879372	81.06
28	21.0287182003	82.98
29	21.7603898847	83.68
30	22.4895724011	78.32
31	23.2096783489	75.14
32	23.9190682678	81.25
33	24.6291598089	80.77
34	25.3366648678	79.66
35	26.0496648303	81.28
36	26.7632324214	81.45
37	27.4732444275	79.77
38	28.1843781847	75.3
39	28.8878519628	83.43
40	29.5901670225	77.6
41	30.2923598714	82.24
42	30.9886914292	81.14
43	31.7045572344	77.67
44	32.4073426242	78.13
45	33.1039970456	81.69
46	33.8099872544	76.17
47	34.5038043211	83.08
48	35.2005104972	79.93
49	35.8918280233	80.9
50	36.5858687606	82.17
51	37.2799586397	76.42
52	37.9729426375	79.97
53	38.6667462839	82.89
54	39.3765299164	75.54
55	40.1046234622	82.95
56	40.8512506781	80.9
57	41.5493938922	81.65
58	42.2422817208	82.36
59	42.9348086131	79.98
60	43.6227007225	82.2
61	44.3071029714	84.3
62	45.0087003975	83.61
63	45.7146603586	83.94
64	46.4135224478	80.8
65	47.1108141681	79.33
66	47.8136167436	80.86
67	48.5354335197	83.25
68	49.2191584217	79.62
69	49.9925202642	78.82
70	50.6925342872	79.22
71	51.4204956739	83.22
72	52.0997253519	77.54
73	52.7805643233	77.75
74	53.4580459714	80.11
75	54.1614258986	82.24
76	54.8428252644	77.65
77	55.5275166375	79.18
78	56.2128246456	83.93
79	56.8949603547	82.56
80	57.5789076872	83.22
81	58.2706008339	78.4
82	58.9614307725	81.59
83	59.6417742158	82.28
84	60.3234339344	80.08
85	61.0299018367	80.69
86	61.7124320506	77.57
87	62.398633785	78.36
88	63.0776922094	78.79
89	63.8450058228	78.71
90	64.5859520156	84.08
91	65.2842274694	84.39
92	65.9740550911	92.14
93	66.6553559786	92.66
94	67.3319469564	92.96
95	68.0081723811	92.99
96	68.6930117978	92.91
97	69.3728543622	93.06
98	70.0505877956	93.3
99	70.7278298825	93.18
100	71.4034738769	93.28
101	72.0759668739	93.37
102	72.7503332511	93.45
103	73.4242584467	92.94
104	74.1280926686	92.75
105	74.8361335272	92.98
106	75.5586718281	92.77
107	76.2540966236	92.91
108	76.9305423142	93.01
109	77.642642785	92.28
110	78.3391634258	92.43
111	79.0336799472	93.21
112	79.7161135558	92.53
113	80.3998202011	92.0
114	81.0987271061	92.43
115	81.7852308592	92.49
116	82.4893361781	92.39
117	83.1897958406	92.18
118	83.8848271064	92.68
119	84.5722085089	92.4
120	85.2680914047	92.26
121	85.9609896411	92.53
122	86.6508833964	91.94
123	87.3485206589	92.07
124	88.0404883819	92.39
125	88.7332761631	92.66
126	89.4224174125	91.64
127	90.1239758867	92.55
128	90.8348100236	92.04
129	91.5463177636	92.63
130	92.2700622214	92.1
131	93.0082021192	92.72
132	93.7139900708	90.95
133	94.4146363397	91.79
134	95.1075104533	91.8
135	95.799574105	91.79
136	96.4894933336	92.42
137	97.1774236028	94.4
138	97.8525128825	94.52
139	98.5309793111	94.42
140	99.2204840964	94.59
141	99.9190333822	94.69
142	100.598112316	94.64
143	101.302866267	94.56
144	101.999195654	94.7
145	102.68278181	94.58
146	103.363693623	94.69
147	104.061820428	94.46
148	104.753802143	94.72
149	105.4585213	94.73
150	106.147289388	94.57
151	106.845658666	94.75
152	107.536054584	94.66
153	108.243831316	94.65
154	108.94513576	94.71
155	109.650563574	94.73
156	110.350245613	94.65
157	111.063199338	94.65
158	111.781151816	94.62
159	112.512416749	94.73
160	113.22277273	94.75
161	113.932572039	94.72
162	114.633559947	94.76
163	115.333875018	94.68
164	116.020856828	94.59
165	116.688945099	94.66
166	117.364406159	94.59
167	118.076826662	94.72
168	118.78490642	94.7
169	119.520012887	94.68
170	120.219661152	94.79
171	120.910886786	94.65
172	121.62695241	94.65
173	122.317348071	94.75
174	123.013694362	94.7
175	123.714753132	94.75
176	124.425536231	94.5
177	125.113887441	94.68
178	125.815792665	94.66
179	126.503127253	94.59
180	127.210432666	94.73
181	127.914521501	94.64
