epoch	hours	top1Accuracy
1	0.0682329997222	33.57
2	0.136437242222	52.51
3	0.204605029722	61.71
4	0.272780323889	69.46
5	0.340952911667	71.47
6	0.409112656667	69.64
7	0.477268385556	75.81
8	0.545402767778	72.62
9	0.613522874722	70.47
10	0.681635772778	75.27
11	0.749752141111	75.78
12	0.817866563056	78.99
13	0.885980417222	76.1
14	0.954089776111	74.35
15	1.02216490583	80.8
16	1.09023800389	75.8
17	1.15830981778	71.59
18	1.22636307639	79.15
19	1.2944184925	80.22
20	1.36243092056	81.59
21	1.43045633528	80.22
22	1.49845469056	76.83
23	1.56642725889	79.37
24	1.63440742056	79.61
25	1.70239001556	79.23
26	1.77036349194	73.91
27	1.8383461425	81.45
28	1.90632402139	77.83
29	1.97429686889	79.65
30	2.04221914111	81.56
31	2.11019379639	84.52
32	2.17810491417	79.39
33	2.24601362806	80.76
34	2.31390793583	83.18
35	2.38179837556	68.13
36	2.44970729	72.9
37	2.51759396472	81.86
38	2.58546174778	70.91
39	2.65331739056	79.73
40	2.72115779083	76.55
41	2.78898442667	78.86
42	2.85681615056	80.01
43	2.92463192	82.07
44	2.99245089861	82.27
45	3.06025862972	79.33
46	3.12804974806	82.98
47	3.19584944528	78.46
48	3.26362696472	82.37
49	3.33139974556	80.83
50	3.399154525	74.66
51	3.46689701278	83.91
52	3.53465092528	80.18
53	3.602390935	80.15
54	3.67012478361	85.05
55	3.737837215	80.49
56	3.80556427583	84.47
57	3.87328407889	83.31
58	3.94098282722	81.92
59	4.00866091333	84.76
60	4.07634029389	83.35
61	4.14400626417	84.53
62	4.2116688875	81.3
63	4.27930038694	79.15
64	4.34694018194	81.12
65	4.4145852725	83.09
66	4.48217405972	81.66
67	4.5497883775	84.94
68	4.61739621139	83.19
69	4.68498714861	84.33
70	4.75256105444	83.33
71	4.82012319667	63.74
72	4.88770269056	82.37
73	4.95528777583	82.71
74	5.02285646889	81.77
75	5.09040641111	80.47
76	5.15796276556	81.91
77	5.22549211694	80.36
78	5.29303413722	80.43
79	5.36055509889	81.58
80	5.42806853194	76.03
81	5.49556897139	82.49
82	5.56306811944	81.0
83	5.63055957417	80.56
84	5.69803543639	83.34
85	5.76551539167	75.04
86	5.83299907306	80.91
87	5.90046738278	82.14
88	5.96795054583	75.51
89	6.03543929306	81.14
90	6.10293299389	82.81
91	6.1704156	81.9
92	6.23798646889	91.97
93	6.30548247139	92.38
94	6.37299357583	92.86
95	6.44049366583	93.11
96	6.50801792667	93.07
97	6.57555117583	93.17
98	6.64308130889	92.99
99	6.71061363889	92.95
100	6.77812970083	93.46
101	6.84565016278	93.09
102	6.91315467722	93.19
103	6.980654955	93.24
104	7.04814819417	92.93
105	7.11581151	92.82
106	7.18351430111	93.13
107	7.25078712417	93.05
108	7.31779820639	92.6
109	7.38525527944	93.24
110	7.45287487861	93.31
111	7.52043612694	91.84
112	7.587967235	92.24
113	7.65551651056	93.08
114	7.72303818611	92.51
115	7.79058616278	92.97
116	7.85810843944	91.33
117	7.92560977611	92.46
118	7.99308739111	92.52
119	8.06055263278	91.86
120	8.12800695417	92.5
121	8.1954659625	92.01
122	8.26301171861	92.47
123	8.33041069194	92.67
124	8.39783248083	92.54
125	8.46526795222	91.95
126	8.53273362639	92.12
127	8.60017421722	92.35
128	8.66764341222	92.69
129	8.73513515083	91.42
130	8.80265998222	91.35
131	8.87019119778	91.75
132	8.93774247667	92.68
133	9.00527566444	92.55
134	9.07282293389	92.65
135	9.14031930556	91.21
136	9.20779777722	92.3
137	9.27540265667	94.14
138	9.34289189917	94.19
139	9.4103567925	94.36
140	9.47782949944	94.33
141	9.54530477472	94.32
142	9.61280433917	94.43
143	9.68031176222	94.38
144	9.74811007667	94.38
145	9.81572460139	94.39
146	9.88330329861	94.31
147	9.95085259639	94.45
148	10.0183821333	94.54
149	10.0859006208	94.3
150	10.1534399086	94.38
151	10.2209450886	94.59
152	10.2884401647	94.36
153	10.3559680342	94.35
154	10.4234738722	94.37
155	10.4909523567	94.37
156	10.5583942317	94.33
157	10.6254757033	94.37
158	10.6930084486	94.59
159	10.760457985	94.5
160	10.8279095397	94.56
161	10.8953404036	94.49
162	10.9627924808	94.42
163	11.0302400217	94.46
164	11.0977263592	94.5
165	11.1651809042	94.48
166	11.2327772928	94.39
167	11.3005355181	94.5
168	11.3682787514	94.32
169	11.4360418767	94.54
170	11.5038534356	94.56
171	11.5716515569	94.52
172	11.6394315631	94.48
173	11.7071777381	94.49
174	11.7749417353	94.51
175	11.8426833583	94.52
176	11.9104322336	94.48
177	11.9782210639	94.61
178	12.0460014244	94.61
179	12.1136671556	94.51
180	12.1811768683	94.57
181	12.2486279497	94.55
