epoch	hours	top1Accuracy
1	0.0696681927778	34.88
2	0.139306187222	52.84
3	0.208958033056	44.38
4	0.278622354167	66.92
5	0.348259199167	73.31
6	0.417905488611	68.91
7	0.487526390278	68.85
8	0.557142934167	67.99
9	0.626733363333	73.31
10	0.696330073889	74.19
11	0.765907393611	78.39
12	0.835440561389	69.75
13	0.905010520278	78.27
14	0.974573394722	74.97
15	1.04409586861	76.69
16	1.11363712306	74.05
17	1.18352449306	69.43
18	1.253439205	78.89
19	1.32334422417	80.31
20	1.3932518825	81.79
21	1.46316927417	81.17
22	1.53308709389	77.06
23	1.60299608889	73.44
24	1.67289508639	77.75
25	1.74280134472	80.63
26	1.81268814694	83.53
27	1.88258679083	82.98
28	1.95246791222	82.52
29	2.02234475806	80.52
30	2.0918881925	81.62
31	2.16133965833	78.62
32	2.23078258694	79.34
33	2.30022136611	79.47
34	2.36966454389	79.72
35	2.43912429972	83.13
36	2.50859005111	77.68
37	2.57805918583	77.79
38	2.64751158806	81.52
39	2.71694139833	78.84
40	2.78637255222	81.57
41	2.85576982972	77.32
42	2.9247976475	84.19
43	2.99374469333	83.06
44	3.06294136278	81.39
45	3.13229086639	83.37
46	3.20169270694	80.96
47	3.27105693778	78.4
48	3.34043744472	81.08
49	3.40985301722	84.4
50	3.47927424667	78.54
51	3.54867376639	76.16
52	3.61810078611	82.25
53	3.68751419028	81.88
54	3.75691240111	80.2
55	3.82630528917	81.93
56	3.89569979278	80.69
57	3.96507503583	82.48
58	4.03443868222	75.8
59	4.103791105	79.18
60	4.17310869083	79.89
61	4.24245745361	81.39
62	4.31176644861	81.24
63	4.38100603083	82.28
64	4.45026723278	83.16
65	4.51953879278	80.58
66	4.58885737	84.13
67	4.657996115	80.6
68	4.72693936	83.03
69	4.79590341389	77.67
70	4.86555467417	81.74
71	4.93489452417	83.96
72	5.00412458861	78.38
73	5.07334087194	83.97
74	5.14256025889	82.49
75	5.21175973111	81.0
76	5.28099901722	86.74
77	5.35022624556	84.03
78	5.419467755	76.46
79	5.48872760333	81.94
80	5.55795873556	82.88
81	5.627163925	81.06
82	5.69639996	73.79
83	5.76565152472	82.42
84	5.83487675556	81.71
85	5.90410473583	84.59
86	5.97333265306	80.82
87	6.04255401583	76.64
88	6.11176155639	81.23
89	6.1810144475	83.19
90	6.25035348472	82.29
91	6.31973301722	75.06
92	6.38913183611	91.9
93	6.45846532611	92.45
94	6.52780203667	92.62
95	6.59714153972	92.81
96	6.666313955	92.72
97	6.73536471472	92.58
98	6.80429830667	92.73
99	6.87323377806	92.67
100	6.94216845694	92.6
101	7.01108172139	92.67
102	7.08002462556	92.88
103	7.14969622139	92.68
104	7.21902658722	92.4
105	7.28827363806	92.56
106	7.35757746222	92.31
107	7.42648288833	92.29
108	7.49540379056	91.54
109	7.56432800278	92.63
110	7.6332826925	92.1
111	7.70228145778	92.39
112	7.77163182611	92.8
113	7.84123320778	91.71
114	7.91050804056	92.55
115	7.97959038583	92.09
116	8.04860097583	92.15
117	8.11759742361	92.51
118	8.18656186694	92.03
119	8.25552466444	91.58
120	8.32466616333	91.19
121	8.39397222806	90.44
122	8.46305479611	91.99
123	8.53211468833	92.16
124	8.60120110611	92.0
125	8.67024192222	92.15
126	8.73939281889	91.47
127	8.80856588694	91.22
128	8.87769892639	91.02
129	8.94690827139	89.76
130	9.01603550889	91.58
131	9.0852141375	91.2
132	9.15435636917	91.78
133	9.22350533056	92.07
134	9.2926542475	90.46
135	9.36176205972	92.07
136	9.43093904389	91.86
137	9.50011498556	93.5
138	9.56927350889	93.73
139	9.63839991972	93.84
140	9.70753715833	93.92
141	9.77670086417	93.94
142	9.84585752972	93.88
143	9.91503538167	93.98
144	9.98413644944	93.84
145	10.0533200089	93.83
146	10.1224125961	93.96
147	10.1915837167	93.89
148	10.2606565069	93.99
149	10.3298165806	93.93
150	10.3989143267	93.92
151	10.4680709506	93.94
152	10.5370774019	94.08
153	10.6061589858	93.85
154	10.6751572125	93.99
155	10.7442119389	93.96
156	10.8132128747	94.01
157	10.8823187594	94.02
158	10.9513990844	94.06
159	11.0204786081	94.03
160	11.0895720689	94.06
161	11.15862281	94.09
162	11.2276923619	94.02
163	11.2967538633	94.08
164	11.3658312219	94.32
165	11.4348894947	93.93
166	11.5039616697	94.11
167	11.5730334811	94.0
168	11.6421108325	94.13
169	11.7111797978	94.2
170	11.7802908	93.94
171	11.8493373667	94.06
172	11.9184441186	94.06
173	11.9875018733	94.04
174	12.0565976069	94.21
175	12.1256668892	94.12
176	12.1947462936	94.16
177	12.2638052056	94.03
178	12.3329062294	93.99
179	12.4019504175	94.04
180	12.4710778433	94.1
181	12.5401097819	93.93
