epoch	hours	top1Accuracy
1	0.0193006966667	37.58
2	0.0378098186111	50.2
3	0.0555501869444	61.29
4	0.0737940625	67.41
5	0.0920436397222	65.12
6	0.110315590278	63.38
7	0.128593170833	73.6
8	0.146830456944	76.22
9	0.165097036111	78.59
10	0.183298626667	76.4
11	0.201457878889	74.71
12	0.219616598889	59.56
13	0.237651735833	74.81
14	0.255870476667	76.0
15	0.274222140833	77.84
16	0.292481538611	81.51
17	0.310736606944	75.95
18	0.328970568056	71.64
19	0.34725662	75.71
20	0.365508991944	72.68
21	0.38359771	61.31
22	0.401851839722	75.91
23	0.420107699722	82.98
24	0.438370103611	78.98
25	0.456630558611	78.21
26	0.474876834167	79.33
27	0.493100136944	72.03
28	0.511362356667	75.4
29	0.529609525	72.44
30	0.547969560278	76.93
31	0.566182503333	79.95
32	0.584453154444	76.27
33	0.602736674167	75.89
34	0.620596422222	75.8
35	0.6388416775	76.15
36	0.657100632222	80.66
37	0.6751389875	81.83
38	0.693754091111	82.46
39	0.711788000833	80.9
40	0.730036956389	72.75
41	0.748527031667	83.13
42	0.766629322222	77.16
43	0.784888738333	74.58
44	0.803139895556	82.88
45	0.821393851667	83.26
46	0.839633581111	81.19
47	0.857844035833	78.97
48	0.8760479	83.61
49	0.894301199722	79.35
50	0.912555937778	77.6
51	0.930811698611	82.36
52	0.949073707222	73.1
53	0.967324566111	77.98
54	0.98557099	83.99
55	1.00382883917	79.36
56	1.02205013306	78.16
57	1.040280555	77.12
58	1.05849913472	80.07
59	1.07674815722	82.81
60	1.09497412444	83.11
61	1.11322357417	70.26
62	1.13148048917	78.67
63	1.14974317167	82.88
64	1.16799088528	78.65
65	1.18626868333	72.44
66	1.20460472861	83.61
67	1.22286174639	78.97
68	1.24107553806	82.14
69	1.25925548028	79.33
70	1.27742509917	83.22
71	1.29562468306	79.93
72	1.31385833528	77.22
73	1.33209278889	83.29
74	1.35033911861	82.06
75	1.36857414222	76.61
76	1.3868338125	84.47
77	1.40509249972	79.1
78	1.42328596583	74.7
79	1.44150262389	80.04
80	1.45974931694	82.67
81	1.47799186722	81.3
82	1.49624232417	85.48
83	1.51437597	84.75
84	1.5326257725	79.57
85	1.55016866028	78.91
86	1.56840015083	79.85
87	1.58663875306	84.62
88	1.60482091417	74.15
89	1.62299852333	81.76
90	1.6410071725	76.34
91	1.65923815056	80.19
92	1.67834784833	92.09
93	1.6967852125	92.56
94	1.71493876028	92.53
95	1.73308451639	92.7
96	1.75129905278	92.6
97	1.770265405	92.8
98	1.78894470417	92.84
99	1.80747819306	92.81
100	1.82566661139	92.54
101	1.84385050028	92.66
102	1.86247792389	92.98
103	1.88150066139	92.5
104	1.89998842139	92.48
105	1.9182095525	92.64
106	1.93727216833	92.7
107	1.95545343694	92.73
108	1.97379635972	92.53
109	1.99234984194	92.65
110	2.01136696528	92.58
111	2.02987981778	92.45
112	2.04881277083	92.03
113	2.06780968917	92.23
114	2.08599063639	92.24
115	2.10429090861	91.9
116	2.12252806472	91.97
117	2.1407462925	91.93
118	2.15908252417	92.36
119	2.17735523806	91.99
120	2.19597359889	92.02
121	2.21413465972	91.44
122	2.23255286806	92.22
123	2.25106556306	91.78
124	2.26955900472	91.81
125	2.28795332667	91.95
126	2.30648837944	91.39
127	2.324644015	89.67
128	2.34335138278	91.13
129	2.36188143917	92.33
130	2.38029859333	91.05
131	2.39861178611	91.84
132	2.41769867806	91.55
133	2.436751135	92.67
134	2.454999185	91.03
135	2.4733868	91.67
136	2.49191565722	92.17
137	2.51037836306	93.99
138	2.52818596583	94.25
139	2.54631330944	94.18
140	2.564388905	94.15
141	2.58250669028	94.34
142	2.6006478675	94.36
143	2.6187761225	94.37
144	2.63691115139	94.26
145	2.65474023667	94.24
146	2.67285585194	94.25
147	2.69099417167	94.28
148	2.70916573917	94.17
149	2.72729506194	94.15
150	2.74510141944	94.16
151	2.76319388583	94.33
152	2.78155604306	94.28
153	2.79968108722	94.41
154	2.81791445944	94.21
155	2.83619758639	94.28
156	2.85432291806	94.32
157	2.87248618889	94.3
158	2.89060742389	94.24
159	2.90871796889	94.27
160	2.9268326175	94.26
161	2.94495071556	94.22
162	2.96309055556	94.22
163	2.98119981583	94.34
164	2.99962322778	94.46
165	3.01764285694	94.37
166	3.03571792639	94.3
167	3.05380816861	94.34
168	3.07192461833	94.17
169	3.09001107667	94.28
170	3.10792912139	94.28
171	3.12591572278	94.19
172	3.14401941472	94.3
173	3.16214693972	94.31
174	3.18024053167	94.27
175	3.19805913111	94.37
176	3.21618052444	94.24
177	3.23433283083	94.14
178	3.25247560278	94.24
179	3.27057855917	94.36
180	3.28867335139	94.12
181	3.30678017306	94.31
