epoch	hours	top1Accuracy
1.00096	0.0197504887316	45.59
2.00192	0.0384145843983	51.85
3.00288	0.0570963371462	62.56
4.00384	0.0757451699177	65.65
5.0048	0.0943965283367	73.42
6.00576	0.113025745153	77.51
7.00672	0.13164385928	79.96
8.00768	0.150252355867	73.88
9.00864	0.168838268452	75.7
10.0096	0.187447967132	78.13
11.01056	0.206049537328	77.31
12.01152	0.224654158884	80.46
13.01248	0.243270921641	82.0
14.01344	0.261860019233	80.23
15.0144	0.280522821148	79.69
16.01536	0.299200451308	79.62
17.01632	0.317886574997	75.53
18.01728	0.336560834779	78.38
19.01824	0.355249209404	79.12
20.0192	0.37392693566	80.63
21.02016	0.392603805794	79.11
22.02112	0.411320320964	74.28
23.02208	0.430000153449	76.16
24.02304	0.448678362237	81.16
25.024	0.467354207966	80.46
26.02496	0.486043967803	79.71
27.02592	0.504679206808	77.32
28.02688	0.523382685516	83.14
29.02784	0.542059194446	81.59
30.0288	0.560726856258	84.51
31.02976	0.579408535626	82.52
32.03072	0.598075682852	84.96
33.03168	0.61670584427	87.13
34.03264	0.635335424079	83.19
35.0336	0.65402683715	83.29
36.03456	0.67267684261	84.21
37.03552	0.691362584962	85.5
38.03648	0.710012966328	83.29
39.03744	0.728653106425	83.08
40.0384	0.747344992359	80.7
41.03936	0.765983282526	83.2
42.04032	0.784670324326	86.01
43.04128	0.803322201504	82.96
44.04224	0.821960613595	84.16
45.0432	0.84060696986	84.43
46.04416	0.859269414213	85.58
47.04512	0.877913711071	80.74
48.04608	0.896561183135	79.62
49.04704	0.915201912655	84.74
50.048	0.933863961763	86.3
51.04896	0.952489356796	85.99
52.04992	0.971122296121	83.96
53.05088	0.98975039151	84.65
54.05184	1.0083634111	81.1
55.0528	1.02699573345	84.06
56.05376	1.04562388354	84.95
57.05472	1.06425314539	79.95
58.05568	1.08286526375	84.73
59.05664	1.10149087853	85.41
60.0576	1.1201451342	86.29
61.05856	1.13878086024	85.07
62.05952	1.15740790546	87.63
63.06048	1.17601730989	85.81
64.06144	1.19465225167	87.32
65.0624	1.21328593453	86.07
66.06336	1.23191012071	86.01
67.06432	1.25053328872	85.66
68.06528	1.26916580002	83.56
69.06624	1.28781210376	84.63
70.0672	1.30643426637	87.48
71.06816	1.32504402247	85.6
72.06912	1.34367262695	84.29
73.07008	1.36231606609	86.15
74.07104	1.38094551961	86.42
75.072	1.39956115564	85.86
76.07296	1.41819430384	86.74
77.07392	1.43680625717	85.4
78.07488	1.45543333107	86.4
79.07584	1.474093809	83.6
80.0768	1.49274165524	86.47
81.07776	1.511395405	87.01
82.07872	1.53006625242	85.96
83.07968	1.54871641623	86.28
84.08064	1.5673824256	85.04
85.0816	1.58603138917	85.03
86.08256	1.60469908728	87.25
87.08352	1.6233735764	85.34
88.08448	1.64202792254	84.47
89.08544	1.6606766214	84.64
90.0864	1.67935178671	86.75
91.08736	1.69803186787	86.8
92.08832	1.71668354942	92.53
93.08928	1.73528930651	93.01
94.09024	1.75392555892	93.2
95.0912	1.77251016902	93.22
96.09216	1.79114465429	93.32
97.09312	1.80972597175	93.4
98.09408	1.82835329592	93.26
99.09504	1.84696009821	93.29
100.096	1.86555435273	93.44
101.09696	1.88417518364	93.58
102.09792	1.90278580738	93.44
103.09888	1.92146382782	93.42
104.09984	1.94012551102	93.08
105.1008	1.95877542608	93.15
106.10176	1.97744269	92.97
