epoch	hours	top1Accuracy
0	0.00074671	54.10
1	0.00149805	69.75
2	0.00224792	74.86
3	0.00299165	77.43
4	0.00373148	76.85
5	0.00447338	81.16
6	0.00521927	79.55
7	0.00597256	82.13
8	0.00672245	85.59
9	0.00746849	82.06
10	0.00821856	86.31
11	0.00896933	86.92
12	0.00972525	86.68
13	0.01048316	89.29
14	0.01123175	89.76
15	0.01198360	87.84
16	0.01273268	88.24
17	0.01348573	90.64
18	0.01423525	91.07
19	0.01498834	90.95
20	0.01574255	91.98
21	0.01650019	92.46
22	0.01725238	93.05
23	0.01800436	93.88
24	0.01875561	94.20
