  epoch	hours	top1Accuracy
  1    0.011362   43.180000     
  2    0.022116   48.730000     
  3    0.033042   62.680000     
  4    0.043873   72.230000     
  5    0.054736   75.190000     
  6    0.065565   75.320000     
  7    0.076435   75.550000     
  8    0.087243   75.970000     
  9    0.098010   79.170000     
 10    0.108827   76.800000     
 11    0.119680   80.940000     
 12    0.130474   74.810000     
 13    0.141242   79.230000     
 14    0.152054   82.190000     
 15    0.162790   82.000000     
 16    0.173604   83.950000     
 17    0.184363   81.190000     
 18    0.195150   80.320000     
 19    0.205893   75.350000     
 20    0.216687   83.190000     
 21    0.227429   80.910000     
 22    0.238200   81.980000     
 23    0.248971   83.320000     
 24    0.259758   83.330000     
 25    0.270504   84.870000     
 26    0.281249   83.700000     
 27    0.292005   82.740000     
 28    0.302794   82.040000     
 29    0.313624   84.130000     
 30    0.324423   83.110000     
 31    0.335181   80.180000     
 32    0.346000   86.580000     
 33    0.356738   83.100000     
 34    0.367515   84.370000     
 35    0.378238   82.840000     
 36    0.389029   85.140000     
 37    0.399788   82.020000     
 38    0.410588   80.070000     
 39    0.421345   80.690000     
 40    0.432124   84.890000     
 41    0.442903   82.590000     
 42    0.453706   86.240000     
 43    0.464420   83.130000     
 44    0.475256   85.590000     
 45    0.485996   84.310000     
 46    0.496739   83.180000     
 47    0.507516   79.780000     
 48    0.518223   84.960000     
 49    0.528942   86.100000     
 50    0.539676   83.960000     
 51    0.550389   93.180000     
 52    0.561110   93.300000     
 53    0.571845   93.730000     
 54    0.582607   93.650000     
 55    0.593383   94.050000     
 56    0.604185   94.060000     
 57    0.614947   93.950000     
 58    0.625721   93.380000     
 59    0.636423   93.880000     
 60    0.647185   93.850000     
 61    0.657880   93.700000     
 62    0.668670   93.580000     
 63    0.679454   93.650000     
 64    0.690184   93.460000     
 65    0.700900   93.940000     
 66    0.711660   93.530000     
 67    0.722403   93.750000     
 68    0.733192   93.680000     
 69    0.743942   92.660000     
 70    0.754728   93.300000     
 71    0.765495   93.780000     
 72    0.776267   92.920000     
 73    0.787046   93.050000     
 74    0.797825   92.950000     
 75    0.808641   92.790000     
 76    0.819434   93.240000     
 77    0.830180   93.030000     
 78    0.840943   93.570000     
 79    0.851714   92.930000     
 80    0.862505   92.720000     
 81    0.873302   93.060000     
 82    0.884110   92.620000     
 83    0.894921   92.600000     
 84    0.905743   92.310000     
 85    0.916547   93.090000     
 86    0.927372   92.500000     
 87    0.938169   92.410000     
 88    0.949003   93.110000     
 89    0.959776   91.900000     
 90    0.970561   93.060000     
 91    0.981376   92.420000     
 92    0.992091   92.070000     
 93    1.002840   92.560000     
 94    1.013610   92.920000     
 95    1.024393   92.040000     
 96    1.035096   92.930000     
 97    1.045901   92.830000     
 98    1.056667   92.310000     
 99    1.067424   92.650000     
100    1.078226   91.350000     
101    1.088998   94.300000     
102    1.099812   94.520000     
103    1.110590   94.570000     
104    1.121403   94.660000     
105    1.132209   94.740000     
106    1.142908   94.690000     
107    1.153725   94.890000     
108    1.164527   94.720000     
109    1.175282   94.800000     
110    1.186080   94.880000     
111    1.196856   94.920000     
112    1.207699   94.850000     
113    1.218488   94.910000     
114    1.229263   94.860000     
115    1.240057   94.950000     
116    1.250852   94.970000     
117    1.261652   95.140000     
118    1.272445   94.960000     
119    1.283217   95.060000     
120    1.293967   94.990000     
121    1.304745   95.110000     
122    1.315532   94.970000     
123    1.326334   94.940000     
124    1.337085   94.970000     
125    1.347849   94.900000     
126    1.358609   95.030000     
127    1.369363   95.020000     
128    1.380128   94.980000     
129    1.390893   94.960000     
130    1.401640   95.050000     
131    1.412419   95.030000     
132    1.423187   95.140000     
133    1.433959   95.060000     
134    1.444736   94.920000     
135    1.455548   95.110000     
136    1.466309   95.100000     
137    1.477079   95.070000     
138    1.487862   95.010000     
139    1.498652   95.080000     
140    1.509439   95.110000     
141    1.520245   94.970000     
142    1.531057   94.930000     
143    1.541845   95.110000     
144    1.552622   95.120000     
145    1.563431   95.120000     
146    1.574187   95.100000     
147    1.585001   95.200000     
148    1.595741   95.170000     
149    1.606542   95.180000     
150    1.617325   95.130000     
151    1.628121   95.050000     
152    1.638887   95.140000     
153    1.649668   95.110000     
154    1.660472   95.220000     
155    1.671258   95.120000     
156    1.682049   95.070000     
157    1.692863   95.110000     
158    1.703717   95.170000     
159    1.714503   95.150000     
160    1.725295   95.090000     
161    1.736103   95.170000     
162    1.746867   95.080000     
163    1.757659   95.160000     
164    1.768454   95.080000     
165    1.779255   95.130000     
166    1.790038   95.100000     
167    1.800847   95.150000     
168    1.811640   95.150000     
169    1.822378   95.140000     
170    1.833184   95.140000     
171    1.843981   95.110000     
172    1.854724   95.120000     
173    1.865457   95.080000     
174    1.876190   95.130000     
175    1.886980   95.220000     
176    1.897739   95.100000     
177    1.908525   95.110000     
178    1.919289   95.100000     
179    1.930048   95.200000     
180    1.940783   95.100000     
181    1.951538   95.120000     
182    1.962335   95.130000     
183    1.973104   95.100000     
184    1.983872   95.130000     
185    1.994691   95.120000     
186    2.005512   95.140000     
187    2.016308   95.170000     
188    2.027139   95.140000     
189    2.037940   95.160000     
190    2.048741   95.120000     
191    2.059552   95.230000     
192    2.070353   95.290000     
193    2.081153   95.150000     
194    2.091864   95.180000     
195    2.102622   95.160000     
196    2.113429   95.280000     
197    2.124143   95.170000     
198    2.134957   95.070000     
199    2.145689   95.170000     
200    2.156416   95.150000     
