epoch	hours	top1Accuracy
0	0.00119374	49.59
1	0.00232872	66.02
2	0.00347805	67.05
3	0.00469134	75.55
4	0.00573558	77.61
5	0.00695555	78.6
6	0.00812365	72.88
7	0.00920907	74.86
8	0.01037075	74.25
9	0.01170565	80.51
10	0.01291092	82.47
11	0.01404239	75.84
12	0.01518758	81.48
13	0.01641208	85.68
14	0.01770511	87.64
15	0.01891448	86.36
16	0.02007843	89.91
17	0.02136751	83.58
18	0.02252023	91.47
19	0.02367967	92.52
20	0.02482016	93.24
21	0.02591234	93.84
22	0.02711574	93.99
23	0.02829251	94.02
