epoch	hours	top1Accuracy	top5Accuracy
0	0.010358333	9.33	23.14
1	0.020722222	22.18	44.81
2	0.031080556	24.63	47.48
3	0.041452778	30.34	55.93
4	0.051797222	32.12	57.33
5	0.062144444	35.26	60.03
6	0.072513889	38.57	64.16
7	0.082880556	41.3	67.04
8	0.093258333	40.06	65.93
9	0.103605556	40.87	67.11
10	0.113969444	42.83	68.59
11	0.124338889	46.42	72.05
12	0.139933333	52.46	77.26
13	0.155497222	49.25	74.26
14	0.171080556	52.66	77.63
15	0.186613889	54.53	78.7
16	0.202155556	55.58	79.33
17	0.217663889	55.76	79.58
18	0.256286111	67.69	88.33
19	0.294702778	69.71	89.41
20	0.360461111	75.58	93.05
