hours	epoch	top1Accuracy	top5Accuracy
3.5510081636243402	1	7.21	19.74
7.091709890034463	2	22.25	45.65
10.634710623688168	3	27.73	53.76
14.181420577963195	4	30.490000000000002	56.44
17.719593392345644	5	31.979999999999997	58.57
21.260252602762645	6	31.119999999999997	57.489999999999995
24.801013201938733	7	34.050000000000004	60.45
28.340454437798925	8	32.73	59.01
31.880703717271484	9	30.7	56.279999999999994
35.42279806507958	10	33.61	60.18
38.96525545934836	11	36.02	62.1
42.50890574660566	12	35.19	61.88
46.05222498436769	13	35.620000000000005	62.339999999999996
49.597709259788196	14	31.91	58.220000000000006
53.14056000490984	15	36.059999999999995	62.31
56.68303990456792	16	34.75	61.85000000000001
60.22558702813255	17	40.53	67.71000000000001
63.76875560674403	18	37.57	64.41
67.30978479292658	19	41.1	67.64
70.85094126449691	20	35.66	62.01
74.3957234860791	21	33.98	60.84
77.93591858519449	22	33.23	58.97
81.47526335000993	23	37.03	62.71
85.01456575287715	24	39.98	66.81
88.55555786503686	25	29.64	54.669999999999995
92.09101255562568	26	31.180000000000003	56.99999999999999
95.62898073898423	27	39.45	66.4
99.17285516639551	28	38.06	64.42999999999999
102.7153086411953	29	33.629999999999995	59.96
106.25745869841842	30	37.03	63.88
109.79698350489139	31	62.41	85.05
113.33741928418479	32	64.33	86.36
116.87962245749104	33	63.62	85.91
120.42428160117734	34	64.63	86.39
123.9711846834421	35	63.519999999999996	86.14
127.51720530721877	36	62.89	85.42
131.06200014372666	37	62.88	85.37
134.6055633107159	38	63.05	85.4
138.1505386222071	39	62.01	85.11999999999999
141.69503195623554	40	61.09	84.21
145.2405064568917	41	63.31	85.7
148.7838845508628	42	61.480000000000004	84.43
152.33246282531155	43	61.96	84.85000000000001
155.8733350279596	44	62.6	85.46000000000001
159.42055758827263	45	62.92	85.4
162.9664541319344	46	60.699999999999996	83.82
166.51216050638092	47	59.45	82.95
170.06067384163538	48	62.519999999999996	85.21
173.60800975296232	49	63.11	85.87
177.1571387127373	50	63.23	85.46000000000001
180.6997965788179	51	63.6	85.92
184.24588333394792	52	63.660000000000004	85.9
187.79558859003916	53	62.23	85.07000000000001
191.34503216637506	54	63.28	85.46000000000001
194.89392797787986	55	63.63999999999999	85.78
198.4435381734371	56	63.370000000000005	85.66
201.99058006412454	57	60.480000000000004	83.66
205.5391513268153	58	64.5	86.44
209.08754852837987	59	63.51	85.88
212.63992488894198	60	65.16999999999999	86.79
216.1906945765018	61	72.8	91.31
219.74242572347322	62	73.56	91.64
223.28869892179966	63	73.92	91.86999999999999
226.83637746135395	64	74.11999999999999	91.86
230.38556338873178	65	74.03999999999999	91.86999999999999
233.93190502040915	66	74.21	92.02
237.47755084680188	67	74.41	92.1
241.02628208465046	68	74.65	92.17999999999999
244.5779356091552	69	74.14	91.85
248.12777798758617	70	74.69	92.19000000000001
251.67946338375413	71	74.25	91.97999999999999
255.2326594721609	72	74.75	92.29
258.7833402456178	73	74.82	92.27
262.33072632531326	74	74.77000000000001	92.36999999999999
265.8829338706202	75	74.39	92.17
269.43090102937487	76	74.92999999999999	92.42
272.9806111679475	77	74.89	92.2
276.5343666713105	78	74.76	92.29
280.0831304825014	79	74.45	92.19000000000001
283.6317740325133	80	74.72999999999999	92.24
287.1822357102236	81	74.8	92.29
290.7326216544708	82	75.16000000000001	92.4
294.28327738073136	83	75.19	92.57
297.8341042676899	84	74.51	92.09
301.3876742729875	85	75.07000000000001	92.35
304.93861981067386	86	75.22999999999999	92.51
308.4908602848318	87	74.44	92.22
312.0400680490997	88	74.45	92.15
315.5916674660312	89	74.9	92.43
319.1439202387466	90	74.82	92.25999999999999
322.6934347160657	91	76.42999999999999	93.03
326.2450552427107	92	76.51	93.1
329.79861021975677	93	76.5	93.25
333.35169906742044	94	76.6	93.25
336.9004061591625	95	76.64999999999999	93.24
340.45374327970876	96	76.68	93.27
344.0059116343657	97	76.64	93.26
347.555219263302	98	76.69	93.25
351.1060263312525	99	76.62	93.24
354.6590715014272	100	76.75999999999999	93.27
358.21172756883834	101	76.83	93.31
361.76484014411767	102	76.74	93.35
365.3173608174589	103	76.52	93.13
368.8691925721698	104	76.64999999999999	93.19
372.421710005535	105	76.73	93.35
375.971484801107	106	76.82	93.28
379.5241814352406	107	76.6	93.17
383.076745491955	108	76.86	93.34
386.63016222536567	109	76.67	93.3
390.1861494098107	110	76.91	93.38
393.737103898459	111	76.81	93.35
397.2898391801781	112	76.73	93.26
400.8418463936779	113	76.83	93.35
