epoch	hours	top1Accuracy	top5Accuracy
1	0.2152777777777778	15.758000000000006	35.72
2	0.39555555555555555	29.108	54.96
3	0.5752777777777778	36.72	63.488
4	0.7552777777777778	40.974	67.764
5	0.9352777777777778	45.18600000000001	71.768
6	1.1155555555555556	47.699999999999996	73.87
7	1.2961111111111112	49.651999999999994	75.946
8	1.4761111111111112	51.370000000000005	76.73400000000001
9	1.656388888888889	52.489999999999995	77.934
10	1.8366666666666667	52.822	78.23400000000001
11	2.0166666666666666	50.512	76.05199999999999
12	2.1969444444444446	51.242	76.688
13	2.3775	53.13	78.34400000000001
14	2.5572222222222223	48.706	74.458
15	2.7375	54.596000000000004	79.89999999999999
16	2.917777777777778	55.576	80.238
17	3.0980555555555553	55.699999999999996	80.02
18	3.2780555555555555	54.83	79.792
19	3.4586111111111113	56.812	81.376
20	3.638888888888889	54.556000000000004	79.60199999999999
21	3.8194444444444446	57.524	81.60000000000001
22	3.999722222222222	56.230000000000004	81.14399999999999
23	4.179722222222222	55.274	80.226
24	4.3597222222222225	56.91	81.17999999999999
25	4.539722222222222	56.343999999999994	80.988
26	4.719444444444444	54.652	79.57
27	4.8997222222222225	57.96399999999999	81.92
28	5.079722222222222	55.162	79.976
29	5.26	55.852000000000004	80.11
30	5.44	53.954	78.986
31	5.620277777777778	69.776	89.396
32	5.8005555555555555	70.418	89.85600000000001
33	5.980555555555555	70.98400000000001	90.142
34	6.160555555555556	71.25	90.29
35	6.340833333333333	71.83999999999999	90.728
36	6.521111111111111	71.126	90.154
37	6.7011111111111115	71.98	90.64
38	6.881111111111111	71.746	90.686
39	7.0616666666666665	71.916	90.854
40	7.241666666666666	72.03999999999999	90.714
41	7.421944444444445	71.556	90.684
42	7.602222222222222	71.272	90.292
43	7.782222222222222	70.61800000000001	90.024
44	7.9625	71.26	90.474
45	8.142777777777777	71.532	90.46
46	8.323055555555555	71.54	90.72
47	8.503333333333334	70.36	89.854
48	8.68361111111111	70.528	89.998
49	8.863888888888889	71.15	90.364
50	9.044166666666667	70.35199999999999	89.74600000000001
51	9.224444444444444	70.926	90.208
52	9.404722222222222	71.218	90.372
53	9.585	70.756	90.11
54	9.765277777777778	70.60600000000001	90.108
55	9.945833333333333	71.016	90.298
56	10.126111111111111	71.05799999999999	90.34
57	10.306111111111111	70.584	90.134
58	10.486666666666666	70.868	89.916
59	10.666666666666666	70.628	90.03999999999999
60	10.846666666666666	71.632	90.704
61	11.0275	74.69399999999999	92.25999999999999
62	11.208055555555555	75.01400000000001	92.47
63	11.388333333333334	75.276	92.554
64	11.56861111111111	75.17	92.56
65	11.749166666666667	75.414	92.716
66	11.929444444444444	75.37	92.69800000000001
67	12.109722222222222	75.396	92.728
68	12.29	75.47200000000001	92.756
69	12.47	75.682	92.824
70	12.650555555555556	75.654	92.836
71	12.830833333333333	75.642	92.866
72	13.011111111111111	75.824	92.89
73	13.19138888888889	75.64999999999999	92.906
74	13.37138888888889	75.81599999999999	92.888
75	13.551388888888889	75.786	92.93
76	13.731944444444444	75.734	92.85
77	13.912222222222223	75.59400000000001	92.804
78	14.091944444444444	75.574	92.822
79	14.2725	75.856	92.89
80	14.4525	75.682	92.898
81	14.633055555555556	76.106	93.05799999999999
82	14.813333333333333	76.116	92.998
83	14.994166666666667	76.09	93.01
84	15.174166666666666	76.118	93.04599999999999
85	15.354444444444445	76.218	92.97
86	15.534722222222221	76.11	93.014
87	15.715277777777779	76.166	93.008
88	15.895555555555555	76.178	93.014
89	16.075833333333332	76.24	93.062
90	16.25583333333333	76.236	93.024
91	16.43638888888889	76.236	93.074
92	16.616944444444446	76.18	93.06
93	16.797777777777778	76.24600000000001	93.026
94	16.97833333333333	76.236	93.072
95	17.15861111111111	76.14	93.03399999999999
96	17.33888888888889	76.154	93.016
97	17.519444444444446	76.238	93.05
98	17.699444444444445	76.166	93.036
99	17.88	76.212	93.03399999999999
100	18.060277777777777	76.218	93.054
