epoch	hours	top1Accuracy	top5Accuracy
0	0.004669444	0.074	0.49
2.9	0.077738889	15.146	33.96
5.8	0.149994444	26.689	51.41
8.7	0.223322222	21.645	44.7
11.6	0.295516667	32.522	58.76
14.4	0.367858333	17.264	35.91
17.3	0.440352778	35.877	61.46
20.2	0.512963889	50.593	76.74
21.7	0.592952778	52.276	77.62
22.7	0.667044444	59.477	82.96
23.7	0.741016667	62.766	85.59
24.7	0.814866667	63.053	85.84
25.7	0.889636111	65.208	86.86
26.7	0.963477778	67.907	88.42
27.7	1.037108333	68.403	89.09
28.7	1.111341667	70.597	90.31
29.7	1.185538889	71.512	90.67
30.7	1.25955	72.829	91.49
31.7	1.333930556	72.494	91.22
32.5	1.406016667	73.263	91.82
33.3	1.471591667	73.898	91.98
34	1.538011111	73.788	92.02
34.8	1.604147222	74.677	92.63
35.6	1.669905556	74.972	92.7
36.2	1.742588889	75.559	93.11
36.7	1.809716667	75.683	93
37.2	1.876833333	75.683	93.02
37.7	1.943644444	75.739	93.1
38.2	2.010325	75.819	93.19
38.7	2.077661111	75.741	93.18
39.2	2.144997222	75.883	93.16
39.7	2.212447222	75.819	93.24
40	2.252502778	75.795	93.11
