epoch	hours	top1Accuracy	top5Accuracy
1	0.132206	15.012614	34.429932
2	0.170226	33.929443	60.099286
3	0.207784	43.691000	69.592285
4	0.245515	50.392658	75.545245
5	0.270256	55.053711	79.465741
6	0.294521	57.920331	81.439209
7	0.319059	60.052490	83.229572
8	0.343091	61.846924	84.472656
9	0.367970	63.181561	85.597736
10	0.392624	64.377850	86.315918
11	0.417233	65.405273	86.946613
12	0.441263	66.377765	87.668866
13	0.465037	67.364502	88.151044
14	0.488429	68.157959	88.627118
15	0.511859	68.965656	89.044189
16	0.536029	69.710284	89.477539
17	0.559482	70.316571	89.908856
18	0.582485	70.847356	90.184295
19	0.606098	71.439618	90.484619
20	0.629826	71.976727	90.822345
21	0.653149	72.442627	91.074628
22	0.676970	72.819012	91.265869
23	0.700646	73.272705	91.532391
24	0.724782	73.583984	91.758221
25	0.748429	73.868817	91.894531
26	0.772306	74.165851	92.065430
27	0.796201	74.462891	92.154950
28	0.820480	74.713135	92.299396
29	0.844171	74.961346	92.382812
30	0.868606	75.146484	92.486572
31	0.892511	75.278729	92.559814
32	0.916660	75.480145	92.714435
33	0.940821	75.701904	92.720538
34	0.964772	75.819904	92.779541
35	0.988971	75.887042	92.767334
36	1.012649	76.033527	92.856854
37	1.036910	76.192218	92.907715
38	1.060839	76.245993	92.886621
39	1.085074	76.312256	92.980957
40	1.108714	76.359051	93.011475
41	1.115970	76.383466	93.021649
