epoch	hours	top1Accuracy	top5Accuracy
1	0.128489	16.274007	36.419678
2	0.192562	36.462402	62.398273
3	0.255267	45.186362	71.083575
4	0.318807	52.294922	77.032471
5	0.377605	56.193036	80.497235
6	0.436393	58.964032	82.425946
7	0.495779	61.037189	83.909100
8	0.554816	62.786865	85.127765
9	0.613581	64.312744	86.077881
10	0.672423	65.270996	86.926270
11	0.732132	66.337079	87.591553
12	0.791259	67.281085	88.122559
13	0.849960	68.127441	88.745117
14	0.908786	68.996173	89.180499
15	0.968382	69.657391	89.589435
16	1.027634	70.458984	89.965820
17	1.086623	70.998126	90.258789
18	1.145678	71.498615	90.578204
19	1.204589	72.088623	90.960693
20	1.263626	72.574872	91.176349
21	1.322013	73.004150	91.455078
22	1.381350	73.400879	91.705322
23	1.439920	73.777264	91.859943
24	1.499023	74.114990	92.091876
25	1.557864	74.468994	92.220050
26	1.617550	74.737549	92.374676
27	1.676466	75.081378	92.494708
28	1.735598	75.299072	92.614746
29	1.795037	75.545245	92.718506
30	1.854813	75.673419	92.826337
31	1.914001	75.850421	92.993164
32	1.973081	75.964355	93.021649
33	2.032002	76.074219	93.027753
34	2.090620	76.186115	93.088788
35	2.149890	76.322430	93.184406
