epoch	hours	top1Accuracy	top5Accuracy
1	0.307628	30.324300	55.800400
2	0.535253	45.489500	71.185300
3	0.762335	52.297000	77.063000
4	0.989222	55.891900	80.251100
5	1.213021	58.404500	82.027200
6	1.436640	60.306800	83.420800
7	1.660474	62.152100	84.641500
8	1.884271	63.543700	85.530600
9	2.108435	64.725800	86.332200
10	2.331686	65.671800	87.078900
11	2.555454	66.522200	87.630200
12	2.778795	67.584200	88.206000
13	3.002656	68.426500	88.755300
14	3.226062	69.232200	89.239500
15	3.449776	69.836400	89.797000
16	3.673130	70.481400	90.110300
17	3.896918	71.093800	90.456100
18	4.120457	71.610500	90.830500
19	4.344209	72.143600	91.121400
20	4.567813	72.674600	91.363500
21	4.791744	73.109900	91.505900
22	5.015213	73.506700	91.772500
23	5.238640	73.950200	91.973900
24	5.462574	74.430300	92.165100
25	5.685919	74.654100	92.295300
26	5.909700	74.873900	92.386900
27	6.133075	75.166800	92.545600
28	6.356917	75.317400	92.649300
29	6.580385	75.504600	92.745000
30	6.804217	75.577800	92.806000
31	7.027617	75.830100	92.911800
32	7.251334	75.842300	92.970800
33	7.474843	76.104700	93.033900
34	7.698571	76.121000	93.092900
35	7.921963	76.192200	93.113200
