epoch	hours	top1Accuracy	top5Accuracy
0	0.08714944496	0.11	0.48
1	0.12703583400444443	6.21	17.04
2	0.16040750027555556	15.83	35.53
3	0.19254750040888888	26.67	51.12
4	0.22508638965555555	28.08	52.83
5	0.2574786117333333	32.66	58.36
6	0.2899713895111111	39.08	65.31
7	0.3222027784	41.62	67.91
8	0.3544430560533333	40.98	66.95
9	0.3865813894133333	39.29	65.39
10	0.4190130562311111	44.62	70.68
11	0.45138666682666667	40.74	66.58
12	0.48381055620444446	45.20	71.20
13	0.51591000028	44.77	70.76
14	0.5490208339733333	48.12	73.93
15	0.5812508339466667	47.87	73.63
16	0.6138716676622222	46.75	72.47
17	0.6462486118844445	46.16	71.83
18	0.6786505561422222	33.46	59.36
18	0.6905813895466667	34.96	60.96
19	0.7882166671822223	54.96	80.23
20	0.8778516674111111	54.16	79.21
21	0.9662575001244444	54.59	79.60
22	1.0551422227822222	68.73	89.10
23	1.1438944451022222	69.67	89.56
24	1.2325447230933333	70.41	90.14
25	1.3213736116977777	70.49	89.97
26	1.4102625004444445	70.82	90.33
27	1.4992952781333333	70.60	90.01
28	1.5877313894755556	71.16	90.26
29	1.6764241674311111	71.06	90.31
30	1.76512916672	70.48	90.06
31	1.8541916671822223	71.04	90.40
32	1.9429033337777777	69.45	89.38
33	2.031637222506667	70.21	90.03
34	2.120255278328889	70.34	90.20
35	2.2088588894755556	70.42	90.18
36	2.29778611184	74.13	92.00
37	2.3867552783177777	74.46	92.10
38	2.4755866670755555	74.49	92.22
39	2.564387500551111	74.56	92.31
40	2.65306611168	74.75	92.38
41	2.741805000311111	76.02	93.18
41	2.753964445002222	76.04	93.18
42	2.9105561118755556	76.28	93.29
43	3.0594355562133333	76.21	93.21
44	3.207251389297778	76.40	93.34
45	3.3552250005155555	76.40	93.32
46	3.5029311116622224	76.42	93.30
47	3.650671111222222	76.42	93.34
48	3.798214167493333	76.47	93.30
49	3.94606972272	76.44	93.30
50	4.094230555965556	76.48	93.31

