epoch	hours	top1Accuracy	top5Accuracy
1	0.1429763889288889	6.44	17.64
2	0.25240972201333334	13.93	32.20
3	0.36195944468	24.23	48.91
4	0.4716513889355556	29.91	56.37
5	0.5812349997555556	38.95	65.92
6	0.6904980556133333	44.02	70.67
7	0.79960472212	47.22	73.77
8	0.9086280557822223	48.11	74.45
9	1.0176038890355557	49.96	75.98
10	1.1280858336577777	47.23	73.56
11	1.2371416664044443	53.31	78.89
12	1.3462900002711111	52.22	77.94
13	1.455530000128889	53.82	79.36
14	1.5645477782266666	54.00	79.26
15	1.6735266666888888	53.01	78.38
16	1.7824327776222222	54.58	79.84
17	1.892026388911111	52.17	77.41
18	2.0023363886977776	56.65	81.21
19	2.111478333471111	50.63	76.07
20	2.2210694445166665	52.61	78.35
21	2.330093055302222	56.09	81.08
22	2.4392891667955556	54.52	79.81
23	2.5482494449644446	55.04	80.01
24	2.657445833408889	54.57	79.34
25	2.7666227775144443	54.79	79.84
26	2.875580833222222	56.40	81.36
27	2.98425805516	57.07	81.83
28	3.0931225003155554	57.06	81.74
29	3.202161110777778	55.43	80.27
30	3.311026944591111	55.53	80.07
31	3.4196461115955556	70.14	89.56
32	3.5288341665288887	70.84	90.42
33	3.6378397222977776	71.45	90.60
34	3.7470136112666665	71.66	90.77
35	3.8561052778044442	71.72	90.80
36	3.9653077782533335	71.93	90.95
37	4.074414722388889	71.55	90.54
38	4.183802499773333	71.83	90.87
39	4.292997777728889	71.84	90.81
40	4.401879722813334	71.87	90.72
41	4.5108494446	71.07	90.39
42	4.619985833697778	71.08	90.29
43	4.729045555862222	71.50	90.81
44	4.837994722297778	71.26	90.59
45	4.947103332946667	71.03	90.46
46	5.056028055613333	71.06	90.46
47	5.164986111324445	71.44	90.69
48	5.277721944377777	71.23	90.60
49	5.386383610831111	71.24	90.87
50	5.4955483335911115	70.63	90.10
51	5.604616666742222	70.41	90.25
52	5.713499166706667	70.59	90.25
53	5.82252472228	71.18	90.64
54	5.931631111567778	71.43	90.40
55	6.040627777844445	71.17	90.40
56	6.149657500591111	67.90	88.37
57	6.258950000342222	70.47	89.96
58	6.367915833782222	70.58	90.21
59	6.478159166973334	70.53	90.14
60	6.5870147228222224	70.81	90.14
61	6.696410000057778	74.99	92.53
62	6.805156111186666	75.34	92.65
63	6.914115277395555	75.37	92.71
64	7.0230755556933335	75.47	92.76
65	7.132082500448889	75.61	92.77
66	7.241109722191111	75.58	92.86
67	7.35036444452	75.56	92.87
68	7.459190555675556	75.68	92.84
69	7.567887500128889	75.70	92.83
70	7.677041666777778	75.59	92.88
71	7.786409444808889	75.68	92.87
72	7.895370555453334	75.67	92.83
73	8.004134166742222	75.68	92.83
74	8.113087778093334	75.82	92.89
75	8.222027500075555	75.73	92.89
76	8.330866111115556	75.58	92.87
77	8.439906666813334	75.59	92.90
78	8.548815277942222	75.66	92.84
79	8.6577972224	75.69	92.85
80	8.766758611462222	75.48	92.80
81	8.875652222102222	75.87	93.03
82	8.985558889177778	75.98	93.08
83	9.094763333533333	75.98	93.09
84	9.203825277746667	76.03	93.05
85	9.312826111053333	76.01	93.13
86	9.422162500093334	76.05	93.11
87	9.562512777644445	76.10	93.09
88	9.671497500075555	76.04	93.07
89	9.781042500608889	76.04	93.15
90	9.889842777782222	76.04	93.07
