epoch	hours	top1Accuracy	top5Accuracy
1	0.03333333333333333	3.40	10.45
2	0.0425	5.92	15.82
3	0.051666666666666666	11.80	28.10
4	0.060833333333333336	14.59	32.08
5	0.0661111111111111	28.52	53.36
6	0.07166666666666667	31.29	56.39
7	0.07694444444444444	39.82	66.06
8	0.0825	28.01	52.84
9	0.08805555555555555	38.63	64.94
10	0.09333333333333334	40.55	66.88
11	0.09888888888888889	37.68	63.16
12	0.10416666666666667	37.55	63.42
13	0.10944444444444444	39.86	66.24
14	0.115	44.36	70.23
15	0.12055555555555555	39.73	64.89
16	0.12583333333333332	40.77	66.54
17	0.13111111111111112	38.62	64.22
18	0.13666666666666666	43.31	69.41
19	0.14194444444444446	36.11	61.14
20	0.1475	37.16	62.73
21	0.1527777777777778	41.84	68.14
22	0.15805555555555556	40.70	66.70
23	0.16361111111111112	48.01	73.40
24	0.16916666666666666	43.73	69.88
25	0.17444444444444446	46.56	72.59
26	0.18	48.59	73.96
27	0.18555555555555556	42.77	69.03
28	0.19083333333333333	43.72	69.16
29	0.1963888888888889	51.96	77.43
30	0.20166666666666666	44.93	70.97
31	0.20722222222222222	67.21	88.13
32	0.2127777777777778	68.53	88.77
33	0.21805555555555556	68.87	89.06
34	0.22361111111111112	69.40	89.35
35	0.2288888888888889	69.11	89.12
36	0.23444444444444446	69.46	89.41
37	0.24	69.87	89.72
38	0.2452777777777778	69.49	89.46
39	0.25083333333333335	69.62	89.55
40	0.2563888888888889	68.76	89.06
41	0.26166666666666666	69.20	89.22
42	0.26694444444444443	69.42	89.24
43	0.2725	68.73	88.81
44	0.27805555555555556	68.41	88.87
45	0.2833333333333333	68.75	89.06
46	0.28888888888888886	68.95	89.03
47	0.2941666666666667	68.26	88.75
48	0.2997222222222222	68.11	88.49
49	0.305	68.91	89.01
50	0.31055555555555553	68.66	88.99
51	0.31583333333333335	68.92	89.23
52	0.3213888888888889	68.19	88.80
53	0.32666666666666666	68.53	88.74
54	0.3322222222222222	68.54	88.93
55	0.3377777777777778	67.58	88.21
56	0.3433333333333333	68.03	88.43
57	0.3486111111111111	68.77	88.93
58	0.3541666666666667	66.57	87.59
59	0.35944444444444446	67.23	88.25
60	0.365	65.94	87.37
61	0.3705555555555556	73.72	91.82
62	0.37583333333333335	74.12	91.94
63	0.3813888888888889	74.49	92.15
64	0.38666666666666666	74.66	92.24
65	0.39222222222222225	74.75	92.21
66	0.3975	74.76	92.24
67	0.40305555555555556	74.97	92.40
68	0.4086111111111111	74.96	92.34
69	0.41388888888888886	74.92	92.39
70	0.41944444444444445	75.01	92.45
71	0.425	75.11	92.58
72	0.4305555555555556	75.10	92.61
73	0.43583333333333335	75.08	92.52
74	0.4411111111111111	74.99	92.59
75	0.44666666666666666	75.04	92.52
76	0.45222222222222225	75.22	92.54
77	0.4577777777777778	75.17	92.64
78	0.4633333333333333	75.15	92.57
79	0.4686111111111111	75.09	92.64
80	0.4738888888888889	74.99	92.46
81	0.47944444444444445	75.64	92.84
82	0.4847222222222222	75.66	92.92
83	0.49027777777777776	75.71	92.90
84	0.49583333333333335	75.70	92.95
85	0.5011111111111111	75.79	92.98
86	0.5063888888888889	75.82	92.97
87	0.5119444444444444	75.86	93.00
88	0.5175	75.79	92.93
89	0.5227777777777778	75.83	92.98
90	0.5283333333333333	75.85	92.93
91	0.5336111111111111	75.82	92.95
92	0.5391666666666667	75.87	93.01
93	0.5447222222222222	75.90	93.03
94	0.55	75.92	92.98
95	0.5555555555555556	75.85	93.03
96	0.5608333333333333	76.01	93.00
97	0.5663888888888889	75.85	93.03
98	0.5719444444444445	75.93	93.02
99	0.5772222222222222	75.86	92.98
100	0.5825	75.97	93.03
