epoch	hours	top1Accuracy	top5Accuracy
0	0.0061	4.3647	12.8495
1	0.01145	8.8285	21.0086
2	0.01675	13.8322	31.1102
3	0.021983	26.8825	50.6337
4	0.027217	30.3752	55.3191
5	0.03245	33.1661	58.7644
6	0.0353	29.6053	53.3635
7	0.037933	28.2257	51.9881
8	0.04055	27.463	51.1534
9	0.043183	38.2095	63.5156
10	0.045783	35.4955	60.9539
11	0.048417	32.2183	56.1678
12	0.051033	31.7619	56.398
13	0.053667	35.0823	60.8045
14	0.060467	52.0223	76.9002
15	0.066817	56.2209	80.1051
16	0.0731	60.5053	83.5397
17	0.07955	58.2771	81.984
18	0.0855	59.8417	83.0119
19	0.091467	59.8026	82.9975
20	0.09745	59.2568	82.31
21	0.103483	63.3121	85.7031
22	0.109467	63.7109	85.6641
23	0.1155	65.4687	86.8832
24	0.121533	68.5494	88.8028
25	0.1276	69.6258	89.5045
26	0.133633	70.8162	90.2303
27	0.13965	71.9511	90.808
28	0.148333	75.5822	92.9442
29	0.156467	75.7768	93.0374
30	0.164583	75.8017	93.0808
