epoch	hours	top1Accuracy	top5Accuracy
0	0	0.103652712	0.46021791
1	0.001123639	1.691612367	5.754799253
2	0.002015056	1.355777966	4.734855288
3	0.002899397	2.068908429	7.396660494
4	0.003797728	2.251337084	7.649569029
5	0.004694114	2.40059649	7.487872477
6	0.005571122	3.043244126	9.610681855
7	0.006445289	7.794684507	19.27940926
8	0.007315239	2.943737051	8.78974936
9	0.008194794	4.303660286	12.76587261
10	0.009046194	5.72992282	15.19134393
11	0.009924581	7.848585857	19.59036281
12	0.010785875	5.054106873	14.30407642
13	0.011828008	9.158752741	21.73804808
14	0.012692736	7.47958194	18.87308828
15	0.013621028	13.58265287	29.60321448
16	0.014727806	22.42215617	44.86504458
17	0.015836545	19.83912607	41.73888303
18	0.016935931	27.62967228	52.73023027
19	0.018051161	27.80795794	52.63070524
20	0.019160011	35.25021157	62.15432414
21	0.020293614	37.65910288	63.88738825
22	0.021392614	29.45396766	54.95251859
23	0.022498889	35.94261127	61.60289893
24	0.023595936	44.73235741	71.9059762
25	0.024699597	45.90571543	72.56935205
26	0.025807253	50.2591251	76.21376809
27	0.026910719	50.60326651	76.7983683
28	0.028028942	54.01135991	79.41455627
29	0.029131708	56.61511796	81.89397233
30	0.030230597	57.39458491	82.21321535
31	0.031250892	60.46270735	84.12041825
32	0.033633597	69.71267529	89.87935956
33	0.035969544	72.56521161	91.57096777
34	0.038317831	73.7012456	92.07676234
35	0.040979233	74.24850464	92.32138302
36	0.045093458	75.3265038	93.10087568
