epoch	hours	top1	top5
0	0.04286	7.586	19.566
1	0.06806	17.558	37.538
2	0.09313	27.152	51.258
3	0.11811	31.392	57.04
4	0.14323	27.774	52.056
5	0.16837	34.108	60.296
6	0.19342	35.288	61.202
7	0.21853	37.756	64.208
8	0.24371	41.028	66.976
9	0.26875	47.132	73.112
10	0.2938	46.32	71.77
11	0.3189	53.772	78.156
12	0.34431	59.744	82.866
13	0.5025	56.046	80.606
14	0.57292	56.53	80.924
15	0.64316	56.45	80.916
16	0.7134	60.088	83.382
17	0.78371	61.03	83.604
18	0.85462	64.588	86.498
19	0.9249	63.21	85.43
20	0.99556	68.418	88.744
21	1.0662	71.228	90.216
22	1.13674	71.932	90.566
23	1.20724	72.892	91.09
24	1.27757	73.634	91.484
25	1.58089	75.758	92.978
26	1.70637	75.89	93.02
