epoch	hours	top1Accuracy	top5Accuracy
0	0.0088283850087059	5.539	15.723
1	0.0169149549139870	12.891	29.248
2	0.0248311006360583	14.868	32.715
3	0.0325784441497590	19.043	39.404
4	0.0403937947087817	20.776	41.748
5	0.0485091622670491	22.168	44.238
6	0.0565754795074462	18.652	38.281
7	0.0643499335977766	18.481	37.939
8	0.0711326928933461	23.657	46.289
9	0.0771333127551608	26.147	49.268
10	0.0831577839454015	26.611	48.975
11	0.0894093548589282	23.865	46.167
12	0.0953777454959021	18.359	37.744
13	0.1013593234618504	18.140	36.328
14	0.1073471955458323	26.465	49.268
15	0.1164170524809095	28.760	52.148
16	0.1246753058168623	40.601	66.504
17	0.1328930948177973	32.104	56.445
18	0.1413820619053311	39.722	64.355
19	0.1498669069343143	40.942	66.064
20	0.1581442874670028	52.490	77.051
21	0.1663880273368623	31.445	55.176
22	0.1746435627672407	45.654	70.459
23	0.1828690797752804	52.344	77.148
24	0.1912564398845037	52.344	76.758
25	0.1994971858792834	52.100	76.660
26	0.2079922521776623	58.984	82.227
27	0.2162370571825239	55.859	79.785
28	0.2248431142833497	61.426	84.082
29	0.2331268775463104	63.477	85.547
30	0.2414780789613723	66.016	86.914
31	0.2648753748999701	63.086	84.961
32	0.2878741337193383	72.754	91.113
33	0.3116756798161401	73.828	91.602
34	0.3491829254892137	75.406	92.906
35	0.3862738737132814	75.526	93.030
