epoch	hours	f1Score
1	0.07799017	0.676461015
2	0.156302599	0.713942926
3	0.234770341	0.740184185
4	0.312728762	0.75318316
5	0.390892789	0.763145332
6	0.469108063	0.771454748
7	0.547264873	0.775939136
8	0.625701302	0.784317399
9	0.703644814	0.78818592
10	0.78185468	0.791863263
11	0.860069285	0.792032975
12	0.93790223	0.795193889
13	1.016280834	0.7963572
14	1.094959631	0.797511197
15	1.173042156	0.800202439
16	1.251476856	0.803673987
17	1.330159656	0.808072727
18	1.408360713	0.80818623
19	1.486921221	0.80601388
20	1.566058784	0.807167354
21	1.646320913	0.809806833
22	1.726484099	0.809045196
23	1.806780617	0.80994284
24	1.886707879	0.812480031
25	1.967529286	0.812456531
26	2.048211607	0.811242579
27	2.128655942	0.815573195
28	2.209164587	0.813357844
29	2.289300255	0.818385726
30	2.369517498	0.815870398
31	2.449266989	0.813716781
32	2.52857002	0.814162539
33	2.607902856	0.814964744
34	2.686845562	0.817498067
35	2.765811261	0.814956374
36	2.844534373	0.820653762
37	2.92300016	0.817752487
38	3.001646311	0.817644021
39	3.081566299	0.815961527
40	3.159424813	0.817373499
41	3.236494177	0.816229991
42	3.313078931	0.818613624
43	3.389784668	0.819143418
44	3.466772886	0.816646104
45	3.544100043	0.81539732
46	3.621293312	0.819921125
47	3.69869038	0.820205098
48	3.776033705	0.81702904
49	3.853412771	0.817194076
50	3.931248269	0.8217276
51	4.009424179	0.817772934
52	4.086932046	0.819280707
53	4.164023351	0.81878244
54	4.240999259	0.818362616
55	4.318100662	0.818707833
56	4.395293944	0.818524318
57	4.472487277	0.821077361
58	4.549429396	0.816752088
59	4.626414938	0.818762302
60	4.703585542	0.818412089
61	4.78130044	0.818254934
62	4.858413261	0.820059114
63	4.935720327	0.819051385
64	5.012741876	0.819639702
65	5.090059516	0.816712329
66	5.167109111	0.818180295
67	5.24487017	0.81899067
68	5.322310466	0.821190504
69	5.399553	0.82016263
70	5.476391778	0.821132398
71	5.553332592	0.819551924
72	5.629402819	0.82198196
73	5.705938809	0.820423893
74	5.783680002	0.819980039
75	5.86120254	0.818264696
76	5.938374086	0.820391289
77	6.015527255	0.819178836
78	6.092797076	0.819577706
79	6.169908461	0.82254119
80	6.247036523	0.820331044
81	6.323552398	0.82126235
82	6.400127581	0.823574007
83	6.476492073	0.8194406
84	6.553636414	0.822557091
85	6.630739395	0.820262862
86	6.707840626	0.818747455
87	6.784493373	0.821256395
88	6.860891922	0.819295243
89	6.937500632	0.821025812
90	7.014573276	0.820244717
91	7.091622237	0.822889644
92	7.168277172	0.820369191
93	7.245494956	0.819951251
94	7.323287966	0.818724127
95	7.400848505	0.819804324
96	7.478813414	0.81755319
97	7.556418136	0.819685025
98	7.633194246	0.817633246
99	7.710138316	0.813789489
