epoch	hours	f1Score
1	0.130833333333	0.235479
2	0.167222222222	0.312178
3	0.201666666667	0.369458
4	0.238888888889	0.568949
5	0.275555555556	0.639243
6	0.313611111111	0.670649
7	0.350277777778	0.674884
8	0.385833333333	0.693722
9	0.423888888889	0.708088
10	0.461944444444	0.716125
11	0.500555555556	0.732209
12	0.539166666667	0.729586
13	0.576666666667	0.74211
14	0.615277777778	0.736746
15	0.653888888889	0.744896
16	0.690833333333	0.741156
17	0.7275	0.745324
18	0.765277777778	0.75788
19	0.803055555556	0.752717
20	0.841944444444	0.747429
21	0.879444444444	0.762154
22	0.916388888889	0.763679
23	0.956388888889	0.761461
